combination	score
190	11676
18	11181
17	11181
110	11181
223	11676
406	13284
473	13284
198	11676
460	13284
256	11231
365	11231
196	11676
268	11231
50	11181
145	11676
402	13284
38	11181
153	11676
382	11231
446	13284
335	13284
374	11231
317	13284
281	11676
122	11676
377	11231
118	11181
258	11231
343	13284
48	11181
242	11231
207	11676
240	11231
185	11676
68	11181
141	11676
187	11676
342	13284
169	11676
162	11676
177	11231
41	11181
43	11181
387	11231
29	11181
307	11231
229	11676
466	13284
346	11231
166	11676
138	11676
368	13284
233	11676
360	11231
218	11676
206	11676
359	11231
182	11676
248	11231
61	11181
203	11676
8	11181
12	11181
37	11181
330	13284
93	11181
63	11181
87	11181
252	11231
147	11676
15	11181
216	11676
327	11231
276	11231
30	11181
232	11676
243	11231
125	11181
67	11181
73	11181
31	11181
179	11231
358	11231
103	11181
205	11676
47	11181
56	11181
375	13284
57	11181
95	11181
456	13284
142	11676
175	11181
180	11231
236	11676
71	11181
174	11676
439	13284
278	11231
313	13284
6	11181
163	11676
92	11181
334	13284
288	11231
238	11676
424	13284
83	11181
427	13284
101	11181
26	11181
136	11676
265	11231
323	11231
244	11231
59	11181
28	11181
302	11231
98	11181
89	11181
155	11676
154	11676
480	13284
322	11231
369	13284
226	11676
372	11231
109	11181
423	13284
333	13284
409	13284
435	13293
128	11676
405	13284
120	11676
290	11231
437	13314
419	13284
66	11181
186	11231
418	13284
292	11231
135	11676
367	13284
253	11676
344	13284
355	13284
126	11676
143	11676
149	11676
215	11676
442	13284
213	11676
432	13406
263	11231
130	11676
2	11181
389	11231
228	11676
78	11181
230	11676
421	13284
305	11231
401	13284
414	13284
370	11231
129	11676
412	13284
396	13284
188	11676
156	11676
455	13284
467	13284
5	11181
339	13284
393	13284
246	11231
231	11676
36	11181
443	13284
234	11676
357	11231
407	13284
84	11181
19	11181
208	11676
55	11181
440	13284
314	13284
332	13284
345	11231
212	11676
69	11181
274	11231
81	11181
398	13284
463	13284
173	11676
376	11231
197	11676
144	11676
386	11231
338	13284
44	11181
34	11181
315	13284
99	11181
436	13284
113	11676
340	13284
192	11231
42	11181
23	11181
160	11676
131	11181
347	11231
13	11181
254	11231
259	11231
195	11676
337	13284
308	11231
86	11181
45	11181
32	11181
96	11181
371	11231
193	11676
112	11181
287	11231
325	11231
133	11676
249	11231
430	13284
75	11181
472	13284
52	11181
364	11231
354	11231
356	11231
97	11181
108	11181
102	11181
267	11231
65	11181
111	11181
296	11231
448	13284
20	11181
283	11231
298	11231
14	11181
137	11676
312	11231
411	13284
225	11676
353	13284
420	13284
22	11181
46	11181
388	13284
462	13284
328	13284
106	11181
361	11231
316	13284
404	13284
410	13284
438	13303
107	11181
77	11181
152	11676
235	11676
310	11231
184	11678
394	13284
16	11181
431	13284
54	11181
116	11181
363	11231
82	11181
385	11231
468	13284
53	11181
124	11181
247	11231
286	11231
352	11231
444	13284
280	11676
478	13284
299	11231
49	11181
157	11676
39	11181
90	11181
449	13284
379	11231
273	11231
115	11181
100	11181
139	11676
428	13284
425	13284
464	13284
391	11231
88	11181
416	13284
201	11676
300	11231
294	11231
301	11231
384	11231
151	11676
311	11231
239	11231
3	11181
255	11231
395	13284
285	11231
210	11676
250	11231
351	13284
362	13284
221	11676
114	11676
170	11231
241	11231
161	11676
224	11676
7	11181
329	13284
245	11676
289	11231
194	11676
459	13284
140	11676
227	11676
214	11676
189	11676
451	13284
282	11676
117	11676
127	11676
341	13284
433	13284
220	11676
441	13284
350	11231
9	11181
211	11676
413	13284
191	11676
164	11676
318	11231
450	13284
257	11231
167	11676
348	11231
454	13284
458	13284
326	11231
306	11231
25	11181
378	11231
399	13284
80	11181
461	13284
277	11679
21	11181
176	11676
209	11676
469	13284
40	11181
172	11231
132	11181
266	11231
295	11231
309	11231
105	11181
251	11676
264	11231
202	11676
183	11676
27	11181
260	11231
297	11231
269	11231
91	11181
366	11231
10	11181
123	11676
474	13284
79	11181
271	11676
72	11181
373	11231
476	13284
303	11231
275	11676
148	11676
324	11231
475	13284
11	11181
321	11231
319	11231
272	11231
477	13284
58	11181
60	11181
51	11181
381	11231
429	13284
390	11231
146	11676
94	11181
453	13284
4	11181
85	11181
397	13284
445	13284
291	11231
320	11231
199	11676
400	13284
24	11181
470	13284
62	11181
219	11676
217	11676
270	11676
104	11181
331	13284
165	11676
74	11181
417	13284
408	13284
349	11231
262	11231
457	13284
261	11676
64	11181
452	13284
479	13284
70	11181
415	13284
434	13284
171	11676
422	13283
403	13284
465	13284
159	11676
383	11231
237	11676
380	11231
181	11231
121	11676
168	11676
1	11181
35	11181
222	11676
392	13284
119	11676
293	11231
204	11676
134	11676
426	13284
200	11676
304	11231
447	13284
158	11676
279	11231
471	13284
284	11231
150	11676
178	11231
336	13284
33	11181
76	11181
